Refs.,PCE [%],initial PCE [%],PCE after 200 h test [%],PCE after 100 h test [%],PCE after 1000 h test [%],average visible transmittance [%],Absorber,Absorber blend,Absorber material,Inorganic absorber material,Absorber perovskite,Active material,Bottom material bandgap [eV],Bottom active absorber material,Bottom absorber material,conditions of stability tests,Dye sensitizer,Energy yield in 200 h [Wh cm-2],Energy yield in 1000 h [Wh cm-2],Bandgap [eV],Top material bandgap of tandem solar cell  [eV],Bottom absorber material bandgap [eV],middle and top material bandgap of multijunction solar cell  [eV],fill factor [%],Jsc [mA cm−2],Luminophore and absorber material of solar cell with luminescent concentrator,middle and top absorber material of multijunction solar cell,middle and top absorber of multijunction solar cell,Sensitizing dye,Top absorber material of tandem solar cell,Top absorber of tandem solar cell,Voc [mV]
"Z. Jia, S. Qin, L. Meng, Q. Ma, I. Angunawela, J. Zhang, X. Li, Y. He, W. Lai, N. Li, H. Ade, C. J. Brabec, Y. Li, Nat. Commun. 2021, 12, 178.",16.4,,,,,,,,,,,,,PTB7-Th:BTPV-4F:PC71BM,,,,,,,1.66,1.23,,68.5,14.5,,,,,PM6:m-DTC-2F,,1650
"L. Meng, Y. Zhang, X. Wan, C. Li, X. Zhang, Y. Wang, X. Ke, Z. Xiao, L. Ding, R. Xia, H.-L. Yip, Y. Cao, Y. Chen, Science 2018, 361, 1094.",17.3,,,,,,,,,,,,,PTB7-Th:O6T-4F:PC71BM,,,,,,,1.72,1.24,,73.3,14.4,,,,,PBDB-T:F-M,,1640
"X. Huang, B. Sun, Y. Li, C. Jiang, D. Fan, J. Fan, S. R. Forrest, Appl. Phys. Lett. 2020, 116, 153501.",15.9,,,,,,,,,,,,,PM6:SFT8-4F,,,,,,,1.64,1.31,,68,14.1,,,,,PCE-10:BT-CIC:BEIT-4F,,1660
"G. Liu, J. Jia, K. Zhang, X. e. Jia, Q. Yin, W. Zhong, L. Li, F. Huang, Y. Cao, Adv. Energy Mater. 2019, 9, 1803657.",15,,,,,,,,,,,,,PTB7-Th:PCDTBT:IEICO-4F,,,,,,,1.65,1.32,,69,13.6,,,,,PBDB-T-2F:TfIF-4FIC,,1600
"J. Wang, Z. Zheng, Y. Zu, Y. Wang, X. Liu, S. Zhang, M. Zhang, J. Hou, Adv. Mater. 2021, 33, 2102787.",19.6,,,,,,,,,,,,,PBDB-TF:ITCC,,,,,,,1.74,1.32,,72.4,14.2,,,,,PBDB-TF:BTP-eC11,,1910
"J. Wang, Z. Zheng, Y. Zu, Y. Wang, X. Liu, S. Zhang, M. Zhang, J. Hou, Adv. Mater. 2021, 33, 2102787.",19.5,,,,,,,,,,,,,PBDB-TF:ITCC,,,,,,,1.74,1.32,,72,14.2,,,,,PBDB-TF:BTP-eC11,,1912
"M. M. Tavakoli, H. Si, J. Kong, Energy Technol. 2021, 9, 2000751.",15.2,,,,,,,,,,,,,PM6:Y6,,,,,,,1.73,1.37,,73,12.9,,,,,PV2000:PCBM,,1610
"X. Che, Y. Li, Y. Qu, S. R. Forrest, Nat. Energy 2018, 3, 422.",15,,,,,,,,,,,,,PCE-10:BTCIC,,,,,,,1.79,1.42,,71,13.3,,,,,DTDCPB:C70,,1590
"Y. Zhang, B. Kan, Y. Sun, Y. Wang, R. Xia, X. Ke, Y.-Q.-Q. Yi, C. Li, H.-L. Yip, X. Wan, Y. Cao, Y. Chen, Adv. Mater. 2018, 30, 1707508.",14.1,,,,,,,,,,,,,PTB7-Th: NOBDT,,,,,,,1.74,1.48,,70,11.7,,,,,PBDB-T: F-M,,1710
"J. Troughton, S. Neubert, N. Gasparini, D. R. Villalva, J. Bertrandie, A. Seitkhan, S. H. K. Paleti, A. Sharma, M. De Bastiani, E. Aydin, T. D. Anthopoulos, S. De Wolf, R. Schlatmann, D. Baran, Adv. Energy Mater. 2021, 11, 2100166.",15.1,,,,,,,,,,,,,PTB7-Th:IEICO-4F,,,,,,,1.78,1.33,,71,13.2,,,,,a-Si,,1610
"A. B. Nikolskaia, M. F. Vildanova, S. S. Kozlov, O. I. Shevaleevskiy, Semiconductors 2018, 52, 88.",14.7,,,,,,,,,,,,,Si,,,,,,,1.84,1.11,,62,40.9,,,,,N719,,580
"J. Kwon, M. J. Im, C. U. Kim, S. H. Won, S. B. Kang, S. H. Kang, I. T. Choi, H. K. Kim, I. H. Kim, J. H. Park, K. J. Choi, Energy Environ. Sci. 2016, 9, 3657.",17.2,,,,,,,,,,,,,Si,,,,,,,1.67,1.24,,69.3,18.1,,,,,SGT-021,,1360
"S. H. Moon, S. J. Park, S. H. Kim, M. W. Lee, J. Han, J. Y. Kim, H. Kim, Y. J. Hwang, D.-K. Lee, B. K. Min, Sci. Rep. 2015, 5, 8970.",13,,,,,,,,,,,,,CIGS,,,,,,,1.82,1.21,,77,14.6,,,,,N719,,1170
"W.-S. Jeong, J.-W. Lee, S. Jung, J. H. Yun, N.-G. Park, Sol. Energy Mater. Sol. Cells 2011, 95, 3419.",12.4,,,,,,,,,,,,,CIGS,,,,,,,1.9,1.22,,61,14.1,,,,,N719,,1435
"P. Liska, K. R. Thampi, M. Grätzel, D. Brémaud, D. Rudmann, H. M. Upadhyaya, A. N. Tiwari, Appl. Phys. Lett. 2006, 88, 203103.",15.1,,,,,,,,,,,,,CIGS,,,,,,,1.82,1.22,,74,14.1,,,,,N719,,1450
"T. Kinoshita, J. T. Dy, S. Uchida, T. Kubo, H. Segawa, Nat. Photonics 2013, 7, 535.",11.4,,,,,,,,,,,,,DX1,,,,,,,1.98,1.4,,66.7,12.2,,,,,N719,,1400
"T. Yamaguchi, Y. Uchida, S. Agatsuma, H. Arakawa, Sol. Energy Mater. Sol. Cells 2009, 93, 733.",10.4,,,,,,,,,,,,,N719,,,,,,,1.95,1.44,,67,10.8,,,,,Black dye,,1450
"A. K. Baranwal, T. Shiki, Y. Ogomi, S. S. Pandey, T. Ma, S. Hayase, RSC Adv. 2014, 4, 47735.",7.1,,,,,,,,,,,,,N719,,,,,,,2.37,1.78,,69,7.2,,,,,D131,,1420
"M. A. Green, E. D. Dunlop, J. Hohl-Ebinger, M. Yoshita, N. Kopidakis, X. Hao, Prog. Photovoltaics 2020, 28, 629.",32.9,,,,,,,,,,,,,GaAs,,,,,,,1.9,1.35,,85.7,15.4,,,,,GaInP,,2500
"M. A. Green, Y. Hishikawa, E. D. Dunlop, D. H. Levi, J. Hohl-Ebinger, A. W. Y. Ho-Baillie, Prog. Photovoltaics 2018, 26, 3.",32.8,,,,,,,,,,,,,GaAs,,,,,,,1.88,1.41,,87.7,14.66,,,,,GaInP,,2568
"T. S. Kim, H. J. Kim, D.-M. Geum, J.-H. Han, I. S. Kim, N. Hong, G. H. Ryu, J. Kang, W. J. Choi, K. J. Yu, ACS Appl. Mater. Interfaces 2021, 13, 13248.",27.4,,,,,,,,,,,,,GaAs,,,,,,,1.92,1.41,,88,13.1,,,,,GaInP,,2400
"M. A. Green, K. Emery, Y. Hishikawa, W. Warta, E. D. Dunlop, Prog. Photovoltaics 2016, 24, 905.",31.6,,,,,,,,,,,,,GaAs,,,,,,,1.85,1.42,,87.7,14.2,,,,,GaInP,,2538
"M. A. Green, E. D. Dunlop, J. Hohl-Ebinger, M. Yoshita, N. Kopidakis, X. Hao, Prog. Photovoltaics 2020, 28, 629.",23.4,,,,,,,,,,,,,Si,,,,,,,1.9,1.17,,77.7,17.34,,,,,GaAsP,,1732
"M. A. Green, K. Emery, Y. Hishikawa, W. Warta, E. D. Dunlop, Prog. Photovoltaics 2014, 22, 701.",11.8,,,,,,,,,,,,,nc-Si,,,,,,,1.93,1.36,,67.5,12.27,,,,,a-Si,,1428
"M. Ma, Q. Tang, H. Chen, B. He, P. Yang, Sol. Energy Mater. Sol. Cells 2017, 160, 67.",3.6,,,,,,,,,,(5-AVA)y(MA)1−yPbI3,,,,,,,,,1.47,,,,40.6,14.5,,,,,,,616
"N. Ren, B. Chen, R. Li, P. Wang, S. Mazumdar, B. Shi, C. Zhu, Y. Zhao, X. Zhang, Sol. RRL 2021, 5, 2000795.",20.2,,,,,,,,,,FA0.87MA0.13PbI3−xClx,,,,,,,,,1.53,,,,72.9,24.7,,,,,,,1123
"D. Yang, R. Yang, K. Wang, C. Wu, X. Zhu, J. Feng, X. Ren, G. Fang, S. Priya, S. Liu, Nat. Commun. 2018, 9, 3239.",18.3,,,,,,,,,,FA0.95Cs0.05PbI3,,,,,,,,,1.54,,,,71.5,23.4,,,,,,,1090
"J. H. Heo, D. H. Shin, D. H. Song, D. H. Kim, S. J. Lee, S. H. Im, J. Mater. Chem. A 2018, 6, 8251.",18.2,,,,,,,,,,FAPbI3−xBrx,,,,,,,,,1.54,,,,76.9,22.1,,,,,,,1070
"J. Chung, S. S. Shin, K. Hwang, G. Kim, K. W. Kim, D. S. Lee, W. Kim, B. S. Ma, Y.-K. Kim, T.-S. Kim, J. Seo, Energy Environ. Sci. 2020, 13, 4854.",20.8,,,,,,,,,,(FAPbI3)0.95(MAPbBr3)0.05,,,,,,,,,1.56,,,,79.6,21.9,,,,,,,1190
"E. Cho, Y. Y. Kim, D. S. Ham, J. H. Lee, J.-S. Park, J. Seo, S.-J. Lee, Nano Energy 2021, 82, 105737.",20.3,,,,,,,,,,(FAPbI3)0.95(MAPbBr3)0.05,,,,,,,,,1.56,,,,74.8,23.4,,,,,,,1160
"L. Yang, Q. Xiong, Y. Li, P. Gao, B. Xu, H. Lin, X. Li, T. Miyasaka, J. Mater. Chem. A 2021, 9, 1574.",19.9,,,,,,,,,,Cs0.05Rb0.05(FA0.83MA0.17)0.90Pb(I0.95Br0.05)3,,,,,,,,,1.56,,,,77.3,23.2,,,,,,,1109
"J. Chung, S. S. Shin, K. Hwang, G. Kim, K. W. Kim, D. S. Lee, W. Kim, B. S. Ma, Y.-K. Kim, T.-S. Kim, J. Seo, Energy Environ. Sci. 2020, 13, 4854.",19.9,,,,,,,,,,(FAPbI3)0.95(MAPbBr3)0.05,,,,,,,,,1.56,,,,76.3,21.9,,,,,,,1192
"K. Huang, Y. Peng, Y. Gao, J. Shi, H. Li, X. Mo, H. Huang, Y. Gao, L. Ding, J. Yang, Adv. Energy Mater. 2019, 9, 1901419.",19.5,,,,,,,,,,FA0.945MA0.025Cs0.03Pb(I0.975Br0.025)3,,,,,,,,,1.57,,,,76,23.1,,,,,,,1110
"S. Zhang, H. Wang, X. Duan, L. Rao, C. Gong, B. Fan, Z. Xing, X. Meng, B. Xie, X. Hu, Adv. Funct. Mater. 2021, n/a, 2106495.",19.2,,,,,,,,,,Cs0.08MA0.05FA0.87PbI2.88Br0.12,,,,,,,,,1.58,,,,78.9,21.7,,,,,,,1120
"X. Hu, X. Meng, X. Yang, Z. Huang, Z. Xing, P. Li, L. Tan, M. Su, F. Li, Y. Chen, Y. Song, Sci. Bulletin 2021, 66, 527.",19.9,,,,,,,,,,FAMAPb(IBr)3,,,,,,,,,1.59,,,,77.5,23,,,,,,,1120
"X. Dai, Y. Deng, C. H. Van Brackle, S. Chen, P. N. Rudd, X. Xiao, Y. Lin, B. Chen, J. Huang, Adv. Energy Mater. 2020, 10, 1903108.",19.3,,,,,,,,,,MAPbI3–NH4Cl,,,,,,,,,1.59,,,,78.1,22.7,,,,,,,1090
"X. Yu, Z. Li, X. Sun, C. Zhong, Z. Zhu, Z. a. Li, A. K. Y. Jen, Nano Energy 2021, 82, 105701.",17.2,,,,,,,,,,(FA0.92MA0.08)0.9Cs0.1Pb(I0.92Br0.08)3,,,,,,,,,1.59,,,,75,21.42,,,,,,,1070
"Z. Wang, L. Zeng, C. Zhang, Y. Lu, S. Qiu, C. Wang, C. Liu, L. Pan, S. Wu, J. Hu, G. Liang, P. Fan, H.-J. Egelhaaf, C. J. Brabec, F. Guo, Y. Mai, Adv. Funct. Mater. 2020, 30, 2001240.",19,,,,,,,,,,MAPbI3,,,,,,,,,1.6,,,,80,21.8,,,,,,,1090
"J. Feng, X. Zhu, Z. Yang, X. Zhang, J. Niu, Z. Wang, S. Zuo, S. Priya, S. Liu, D. Yang, Adv. Mater. 2018, 30, 1801418.",18.4,,,,,,,,,,MAPbI3–dimethylsulfide,,,,,,,,,1.6,,,,74.2,22.5,,,,,,,1103
"C. Liu, J. Sun, X.-F. Jiang, L. Huang, Q. Lou, Y.-B. Cheng, S. Song, Z. Ge, Sci. China Chem. 2021, 64, 281.",18.3,,,,,,,,,,Cs0.05FA0.79MA0.16PbI2.49Br0.51,,,,,,,,,1.6,,,,75.6,22.4,,,,,,,1080
"C. Liu, L. Zhang, X. Zhou, J. Gao, W. Chen, X. Wang, B. Xu, Adv. Funct. Mater. 2019, 29, 1807604.",17.3,,,,,,,,,,Cs0.05FA0.81MA0.14PbI2.55Br0.45,,,,,,,,,1.61,,,,74.9,21.7,,,,,,,1062
"M. M. Tavakoli, P. Yadav, D. Prochowicz, R. Tavakoli, Sol. RRL 2021, 5, 2000552.",18.5,,,,,,,,,,MAPbI3,,,,,,,,,1.61,,,,74.3,22.7,,,,,,,1100
"B. Cao, L. Yang, S. Jiang, H. Lin, N. Wang, X. Li, J. Mater. Chem. A 2019, 7, 4960.",19.1,,,,,,,,,,Rb0.01K0.04 (Cs0.05(FA0.83MA0.17)0.95)0.95Pb(I0.83Br0.17)3,,,,,,,,,1.61,,,,79.2,21.2,,,,,,,1135
"Q. Dong, C. Zhu, M. Chen, C. Jiang, J. Guo, Y. Feng, Z. Dai, S. K. Yadavalli, M. Hu, X. Cao, Y. Li, Y. Huang, Z. Liu, Y. Shi, L. Wang, N. P. Padture, Y. Zhou, Nat. Commun. 2021, 12, 973.",20.1,,,,,,,,,,Cs0.04(FA0.84MA0.16)0.96Pb(I0.84Br0.16)3,,,,,,,,,1.62,,,,78,22.4,,,,,,,1150
"D. Xin, S. Tie, X. Zheng, J. Zhu, W.-H. Zhang, J. Energy Chem. 2020, 46, 173.",18,,,,,,,,,,Cs0.06FA0.79MA0.15PbI2.55Br0.45,,,,,,,,,1.62,,,,72.1,22.3,,,,,,,1120
"M. Gao, X. Han, X. Zhan, P. Liu, Y. Shan, Y. Chen, J. Li, R. Zhang, S. Wang, Q. Zhang, Y. Zheng, L. Chen, Mater. Lett. 2019, 248, 16.",10.4,,,,,,,,,,(FAPbI3)0.85(MAPbBr3)0.15,,,,,,,,,1.63,,,,52.8,19.2,,,,,,,1030
"C. W. Jang, J. M. Kim, S.-H. Choi, J. Alloys Compd. 2019, 775, 905.",11.2,,,,,,,,,,MAPbI3,,,,,,,,,1.65,,,,64.9,18.4,,,,,,,940
"J. Xi, Z. Wu, K. Xi, H. Dong, B. Xia, T. Lei, F. Yuan, W. Wu, B. Jiao, X. Hou, Nano Energy 2016, 26, 438.",7.9,,,,,,,,,,(α-FAPbI3)0.5(MAPbI2Br)0.5,,,,,,,,,1.65,,,,70.7,10.8,,,,,,,1090
"J. W. Kim, D. Yuk, W. Lee, S. Rasool, J. Y. Kim, ECS J. Solid State Sci. Technol. 2021, 10, 065007.",7.4,,,,,,,PTB7-Th:COi 8DFIC:PC71BM,,,,,,,,,,,,1.27,,,,65.2,15.9,,,,,,,708
"K.-W. Seo, J. Lee, J. Jo, C. Cho, J.-Y. Lee, Adv. Mater. 2019, 31, 1902447.",10.6,,,,,,,PTB7-Th:IEICO-4F,,,,,,,,,,,,1.32,,,,63.2,24.3,,,,,,,690
"T.-Y. Qu, L.-J. Zuo, J.-D. Chen, X. Shi, T. Zhang, L. Li, K.-C. Shen, H. Ren, S. Wang, F.-M. Xie, Y.-Q. Li, A. K. Y. Jen, J.-X. Tang, Adv. Opt. Mater. 2020, 8, 2000669.",16.1,,,,,,,PM6:N3:PC71BM,,,,,,,,,,,,1.37,,,,76.7,25,,,,,,,840
"Z. Wang, Y. Han, L. Yan, C. Gong, J. Kang, H. Zhang, X. Sun, L. Zhang, J. Lin, Q. Luo, C.-Q. Ma, Adv. Funct. Mater. 2021, 31, 2007276.",14.4,,,,,,,PM6:Y6,,,,,,,,,,,,1.38,,,,73.2,23.5,,,,,,,837
"F. Qin, L. Sun, H. Chen, Y. Liu, X. Lu, W. Wang, T. Liu, X. Dong, P. Jiang, Y. Jiang, L. Wang, Y. Zhou, Adv. Mater. 2021, n/a, 2103017.",16.1,,,,,,,PBDB-T-2F:BTP-eC9:PC71BM,,,,,,,,,,,,1.39,,,,75.8,25.9,,,,,,,820
"J. Wan, Y. Xia, J. Fang, Z. Zhang, B. Xu, J. Wang, L. Ai, W. Song, K. N. Hui, X. Fan, Y. Li, Nano-Micro Lett. 2021, 13, 44.",16.1,,,,,,,PM6:Y6,,,,,,,,,,,,1.4,,,,74.7,25.9,,,,,,,860
"X. Chen, G. Xu, G. Zeng, H. Gu, H. Chen, H. Xu, H. Yao, Y. Li, J. Hou, Y. Li, Adv. Mater. 2020, 32, 1908478.",15.2,,,,,,,PBDB-T-2F:Y6,,,,,,,,,,,,1.4,,,,73,25.1,,,,,,,832
"T. Yan, W. Song, J. Huang, R. Peng, L. Huang, Z. Ge, Adv. Mater. 2019, 31, 1902210.",14.1,,,,,,,PM6:Y6:PC71BM,,,,,,,,,,,,1.4,,,,72,23.6,,,,,,,828
"W. Song, Y. Liu, B. Fanady, Y. Han, L. Xie, Z. Chen, K. Yu, X. Peng, X. Zhang, Z. Ge, Nano Energy 2021, 86, 106044.",15.1,,,,,,,PM6:Y6:C6,,,,,,,,,,,,1.41,,,,71.6,24.9,,,,,,,847
"J. Wan, Y. Xia, J. Fang, Z. Zhang, B. Xu, J. Wang, L. Ai, W. Song, K. N. Hui, X. Fan, Y. Li, Nano-Micro Lett. 2021, 13, 44.",16.6,,,,,,,PM6:Y6,,,,,,,,,,,,1.42,,,,74.7,25.9,,,,,,,860
"J. W. Kim, D. Yuk, W. Lee, S. Rasool, J. Y. Kim, ECS J. Solid State Sci. Technol. 2021, 10, 065007.",10.4,,,,,,,PM6:Y6,,,,,,,,,,,,1.44,,,,72.2,17,,,,,,,848
"Y.-X. Zhang, J. Fang, W. Li, Y. Shen, J.-D. Chen, Y. Li, H. Gu, S. Pelivani, M. Zhang, Y. Li, J.-X. Tang, ACS Nano 2019, 13, 4686.",12,,,,,,,PM6:IT-4F,,,,,,,,,,,,1.55,,,,73.3,19.5,,,,,,,840
"X. Dong, P. Shi, L. Sun, J. Li, F. Qin, S. Xiong, T. Liu, X. Jiang, Y. Zhou, J. Mater. Chem. A 2019, 7, 1989.",11.6,,,,,,,PBDB-T-2F:IT-4F,,,,,,,,,,,,1.56,,,,72.2,19.6,,,,,,,820
"G. Zeng, J. Zhang, X. Chen, H. Gu, Y. Li, Y. Li, Sci. China Chem. 2019, 62, 851.",12.1,,,,,,,PBDB-T-2F:IT-4F,,,,,,,,,,,,1.56,,,,70.1,20.9,,,,,,,826
"G. Zeng, J. Zhang, X. Chen, H. Gu, Y. Li, Y. Li, Sci. China Chem. 2019, 62, 851.",10.9,,,,,,,PBDB-T:ITIC,,,,,,,,,,,,1.61,,,,64.8,18.7,,,,,,,900
"Y. Yang, J. Ou, X. Lv, C. Meng, Y. Mai, Sol. Energy 2019, 180, 57.",9.2,,,,,,,PTB7-Th:PC71BM,,,,,,,,,,,,1.63,,,,74.7,16,,,,,,,770
"L. Gao, Z.-G. Zhang, H. Bin, L. Xue, Y. Yang, C. Wang, F. Liu, T. P. Russell, Y. Li, Adv. Mater. 2016, 28, 8288.",9.3,,,,,,,J51:ITIC,,,,,,,,,,,,1.65,,,,68.7,16.5,,,,,,,820
"T. Xu, C. Gong, S. Wang, H. Lian, W. Lan, G. Lévêque, B. Grandidier, J. Plain, R. Bachelot, B. Wei, F. Zhu, Sol. RRL 2020, 4, 1900522.",8.2,,,,,,,PBDB-T:ITIC,,,,,,,,,,,,1.65,,,,68.6,13.4,,,,,,,890
"C. Xie, X. Jiang, Q. Zhu, D. Wang, C. Xiao, C. Liu, W. Ma, Q. Chen, W. Li, Small Methods 2021, 5, 2100481.",7.2,,,,,,,JP02,,,,,,,,,,,,1.82,,,,71.3,10.9,,,,,,,925
"D. H. Shin, S. W. Seo, J. M. Kim, H. S. Lee, S.-H. Choi, J. Alloys Compd. 2018, 744, 1.",3.7,,,,,,,P3HT:PCBM,,,,,,,,,,,,2.01,,,,59.2,10.4,,,,,,,592
"K. G. Baiju, B. Murali, R. Subba Rao, K. Jayanarayanan, D. Kumaresan, Chem. Eng. Process. 2020, 149, 107817.",4.1,,,,,,,,,,,,,,,,,,,1.65,,,,53.9,9.9,,,,N719,,,770
"X. Zhang, W. Guo, C. Pan, J. Mater. Chem. A 2016, 4, 6569.",4.6,,,,,,,,,,,,,,,,,,,1.74,,,,58,10.5,,,,N719,,,750
"T. Yamaguchi, N. Tobe, D. Matsumoto, T. Nagai, H. Arakawa, Sol. Energy Mater. Sol. Cells 2010, 94, 812.",7.6,,,,,,,,,,,,,,,,,,,1.75,,,,69.2,15,,,,N719,,,732
"F. Huang, D. Chen, Q. Li, R. A. Caruso, Y.-B. Cheng, Appl. Phys. Lett. 2012, 100, 123102.",7.5,,,,,,,,,,,,,,,,,,,1.78,,,,67.5,15.4,,,,N719,,,725
"Y. Wang, P. Cheng, C. Feng, H. Zhang, W. Zhao, Sol. Energy 2019, 180, 423.",6.5,,,,,,,,,,,,,,,,,,,1.79,,,,68,13.2,,,,N719,,,729
"H. C. Weerasinghe, P. M. Sirimanne, G. P. Simon, Y.-B. Cheng, Prog. Photovoltaic: Res. Appl. 2012, 20, 321.",6.3,,,,,,,,,,,,,,,,,,,1.8,,,,66,13.1,,,,N719,,,732
"H. Lee, J. Kim, D. Y. Kim, Y. Seo, Org. Electron. 2018, 52, 103.",6.3,,,,,,,,,,,,,,,,,,,1.81,,,,67.9,12.3,,,,(JH-1)0.6(SQ2)0.4,,,754
"H. C. Weerasinghe, P. M. Sirimanne, G. V. Franks, G. P. Simon, Y. B. Cheng, J. Photochem. Photobiol., A 2010, 213, 30.",5,,,,,,,,,,,,,,,,,,,183,,,,67.8,10,,,,N719,,,735
"Y. Xiao, J. Wu, G. Yue, J. Lin, M. Huang, Z. Lan, Electrochim. Acta 2011, 56, 8545.",6,,,,,,,,,,,,,,,,,,,1.88,,,,71,11.2,,,,N719,,,750
"D. Kishore Kumar, M.-H. Hsu, A. Ivaturi, B. Chen, N. Bennett, H. M. Upadhyaya, Flexible Printed Electron. 2019, 4, 015007.",4.2,,,,,,,,,,,,,,,,,,,1.9,,,,57.7,10.7,,,,N719,,,680
"L. Song, Y. Guan, P. Du, Y. Yang, F. Ko, J. Xiong, Sol. Energy Mater. Sol. Cells 2016, 147, 134.",4.2,,,,,,,,,,,,,,,,,,,1.94,,,,57.2,10.3,,,,N719,,,710
"H. C. Weerasinghe, G. V. Franks, J. D. Plessis, G. P. Simon, Y.-B. Cheng, J. Mater. Chem. 2010, 20, 9954.",4.9,,,,,,,,,,,,,,,,,,,1.95,,,,62.3,11.2,,,,N719,,,702
"X. Zhang, W. Guo, C. Pan, J. Mater. Chem. A 2016, 4, 6569.",6.4,,,,,,,,,,,,,,,,,,,1.99,,,,53.4,18.1,,,,N719,,,660
"J. H. Kim, S.-J. Yoo, D. Lee, J. W. Choi, S.-C. Han, T. I. Ryu, H. W. Lee, M. Shin, M. Song, Nano Res. 2021, 14, 2728.",5.4,,,,,,,,,,,,,,,,,,,2.12,,,,76.3,10.4,,,,N719,,,680
"A. F. Palmstrom, G. E. Eperon, T. Leijtens, R. Prasanna, S. N. Habisreutinger, W. Nemeth, E. A. Gaulding, S. P. Dunfield, M. Reese, S. Nanayakkara, T. Moot, J. Werner, J. Liu, B. To, S. T. Christensen, M. D. McGehee, M. F. A. M. van Hest, J. M. Luther, J. J. Berry, D. T. Moore, Joule 2019, 3, 2193.",21.3,,,,,,,,,,,,,,FA0.75Cs0.25Sn0.5Pb0.5I3,,,,,,1.73,1.28,,75,15.6,,,,,,FA0.6Cs0.3DMA0.1PbI2.4Br0.6,1820
"Z. Li, S. Wu, J. Zhang, K. C. Lee, H. Lei, F. Lin, Z. Wang, Z. Zhu, A. K. Y. Jen, Adv. Energy Mater. 2020, 10, 2000361.",13.6,,,,,,,,,,,,,,PBDB-T:SN6IC-4F,,,,,,1.82,1.4,,68.3,11.1,,,,,,Cs0.1(FA0.6MA0.4)0.9Pb(I0.6Br0.4)3,1800
"B. M. Kayes, L. Zhang, R. Twist, I. Ding, G. S. Higashi, IEEE J. Photovoltaics 2014, 4, 729.",30.4,,,,,,,,,,,,,,GaAs,,,,,,1.86,1.41,,84.7,14.3,,,,,,InGaP,2547
"T. S. Kim, H. J. Kim, D.-M. Geum, J.-H. Han, I. S. Kim, N. Hong, G. H. Ryu, J. Kang, W. J. Choi, K. J. Yu, ACS Appl. Mater. Interfaces 2021, 13, 13248.",27.4,,,,,,,,,,,,,,GaAs,,,,,,1.92,1.41,,88,13.1,,,,,,InGaP,2400
"K.-J. Yang, S. Kim, S.-Y. Kim, D.-H. Son, J. Lee, Y.-I. Kim, S.-J. Sung, D.-H. Kim, T. Enkhbat, J. Kim, J. Kim, W. Jo, J.-K. Kang, Adv. Funct. Mater. 2021, n/a, 2102238.",11.2,,,,,,,,"Cu2ZnSn(S,Se)4",,,,,,,,,,,1.16,,,,62.8,33.1,,,,,,,539
"K. Li, F. Li, C. Chen, P. Jiang, S. Lu, S. Wang, Y. Lu, G. Tu, J. Guo, L. Shui, Z. Liu, B. Song, J. Tang, Nano Energy 2021, 86, 106101.",6.1,,,,,,,,Sb2Se3,,,,,,,,,,,1.32,,,,57.9,25.5,,,,,,,415
"M. I. Khalil, R. Bernasconi, A. Lucotti, A. Le Donne, R. A. Mereu, S. Binetti, J. L. Hart, M. L. Taheri, L. Nobili, L. Magagnin, J. Appl. Electrochem. 2021, 51, 209.",0.6,,,,,,,,Cu2ZnSnS4,,,,,,,,,,,1.52,,,,35.5,7.6,,,,,,,204
"Q. Tang, H. Shen, H. Yao, K. Gao, Y. Jiang, Y. Li, Y. Liu, L. Zhang, Z. Ni, Q. Wei, Renewable Energy 2019, 133, 883.",17,,,,,,,,,c-Si,,,,,,,,,,1.14,,,,70.8,36.6,,,,,,,656
"I. Hwang, H.-D. Um, B.-S. Kim, M. Wober, K. Seo, Energy Environ. Sci. 2018, 11, 641.",18.9,,,,,,,,,c-Si,,,,,,,,,,1.17,,,,63,39.5,,,,,,,608
"S.-T. Kim, H.-J. Jeong, Y.-C. Kim, V. Bhatt, M. Kumar, J.-H. Yun, J.-H. Jang, Energy Rep. 2021, 7, 2255.",12,,,,,,,,,CIGS,,,,,,,,,,1.17,,,,58.4,35.8,,,,,,,580
"A. Chirilă, P. Reinhard, F. Pianezzi, P. Bloesch, A. R. Uhl, C. Fella, L. Kranz, D. Keller, C. Gretener, H. Hagendorfer, D. Jaeger, R. Erni, S. Nishiwaki, S. Buecheler, A. N. Tiwari, Nat. Mater. 2013, 12, 1107.",20.4,,,,,,,,,CIGS,,,,,,,,,,1.2,,,,78.9,35.1,,,,,,,736
"R. Kaczynski, J. Lee, J. V. Alsburg, B. Sang, U. Schoop, J. Britt, presented at 2017 IEEE 44th Photovoltaic Spec. Conf. (PVSC), Washington, DC, USA 25–30 June 2017.",18.7,,,,,,,,,CIGS,,,,,,,,,,1.22,,,,74.4,35,,,,,,,720
"K. Ruan, K. Ding, Y. Wang, S. Diao, Z. Shao, X. Zhang, J. Jie, J. Mater. Chem. A 2015, 3, 14370.",8.4,,,,,,,,,c-Si,,,,,,,,,,1.32,,,,63,24.3,,,,,,,550
"S. Moon, K. Kim, Y. Kim, J. Heo, J. Lee, Sci. Rep. 2016, 6, 30107.",22.1,,,,,,,,,GaAs,,,,,,,,,,1.42,,,,83.4,27.1,,,,,,,980
