Refs.,PCE [%],initial PCE [%],PCE after 200 h test [%],PCE after 100 h test [%],PCE after 1000 h test [%],average visible transmittance [%],Absorber,Absorber blend,Absorber material,Inorganic absorber material,Absorber perovskite,Active material,Bottom material bandgap [eV],Bottom active absorber material,Bottom absorber material,conditions of stability tests,Dye sensitizer,Energy yield in 200 h [Wh cm-2],Energy yield in 1000 h [Wh cm-2],Bandgap [eV],Top material bandgap of tandem solar cell  [eV],Bottom absorber material bandgap [eV],middle and top material bandgap of multijunction solar cell  [eV],fill factor [%],Jsc [mA cm−2],Luminophore and absorber material of solar cell with luminescent concentrator,middle and top absorber material of multijunction solar cell,middle and top absorber of multijunction solar cell,Sensitizing dye,Top absorber material of tandem solar cell,Top absorber of tandem solar cell,Voc [mV]
"P. Cui, D. Wei, J. Ji, H. Huang, E. Jia, S. Dou, T. Wang, W. Wang, M. Li, Nat. Energy 2019, 4, 150.",20.5,,,,,,,,,,MAPbI3,,,,,,,,,1.61,,,,73.5,25.1,,,,,,,1110
"X. Zhao, C. Yao, T. Liu, J. C. Hamill Jr., G. O. Ngongang Ndjawa, G. Cheng, N. Yao, H. Meng, Y.-L. Loo, Adv. Mater. 2019, 31, 1904494.",21.6,,,,,,,,,,Cs0.05(MA0.17FA0.83)0.95Pb(I0.83Br0.17)3,,,,,,,,,1.61,,,,76.1,24.9,,,,,,,1140
"M. A. Mahmud, T. Duong, Y. Yin, H. T. Pham, D. Walter, J. Peng, Y. Wu, L. Li, H. Shen, N. Wu, N. Mozaffari, G. Andersson, K. R. Catchpole, K. J. Weber, T. P. White, Adv. Funct. Mater. 2020, 30, 1907962.",22.6,,,,,,,,,,Cs0.07Rb0.03FA0.765MA0.135PbI2.55Br0.45,,,,,,,,,1.61,,,,78.5,24,,,,,,,1200
"W.-Q. Wu, Z. Yang, P. N. Rudd, Y. Shao, X. Dai, H. Wei, J. Zhao, Y. Fang, Q. Wang, Y. Liu, Y. Deng, X. Xiao, Y. Feng, J. Huang, Sci. Adv. 2019, 5, eaav8925.",21.7,,,,,,,,,,MAPbI3-DAP,,,,,,,,,1.62,,,,81.7,22.5,,,,,,,1180
"K. Choi, J. Lee, H. I. Kim, C. W. Park, G.-W. Kim, H. Choi, S. Park, S. A. Park, T. Park, Energy Environ. Sci. 2018, 11, 3238.",20.3,,,,,,,,,,Cs0.05FA0.76MA0.19PbBr0.6I2.4,,,,,,,,,1.63,,,,76.8,23.4,,,,,,,1130
"X. Zhao, C. Yao, T. Liu, J. C. Hamill Jr., G. O. Ngongang Ndjawa, G. Cheng, N. Yao, H. Meng, Y.-L. Loo, Adv. Mater. 2019, 31, 1904494.",20.4,,,,,,,,,,Cs0.05(MA0.17FA0.83)0.95Pb(I0.83Br0.17)3,,,,,,,,,1.64,,,,75.8,23.6,,,,,,,1140
"N. J. Jeon, J. H. Noh, Y. C. Kim, W. S. Yang, S. Ryu, S. I. Seok, Nat. Mater. 2014, 13, 897.",16.2,,,,,,,,,,MAPbI1−xBrx,,,,,,,,,1.65,,,,74.2,19.6,,,,,,,1109
"J. H. Noh, S. H. Im, J. H. Heo, T. N. Mandal, S. I. Seok, Nano Lett. 2013, 13, 1764.",10.4,,,,,,,,,,MAPb(I0.87Br0.13)3,,,,,,,,,1.66,,,,70.4,16.3,,,,,,,904
"S. A. Kulkarni, T. Baikie, P. P. Boix, N. Yantara, N. Mathews, S. Mhaisalkar, J. Mater. Chem. A 2014, 2, 9221.",8.2,,,,,,,,,,MAPb(I0.88Br0.12)3,,,,,,,,,1.67,,,,65.8,13.9,,,,,,,890
"H. Tan, F. Che, M. Wei, Y. Zhao, M. I. Saidaminov, P. Todorović, D. Broberg, G. Walters, F. Tan, T. Zhuang, B. Sun, Z. Liang, H. Yuan, E. Fron, J. Kim, Z. Yang, O. Voznyy, M. Asta, E. H. Sargent, Nat. Commun. 2018, 9, 3100.",20.7,,,,,,,,,,Cs0.05MA0.15FA0.8Pb(I0.75Br0.25)3,,,,,,,,,1.68,,,,79.7,21.3,,,,,,,1220
